epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62957,1.09815,2.74953,1.47855,0.56743,0.85,0.8784,0.63413,1.65152,1.03281,1.38305,0,0,0
2,7.14598,1.16342,2.77788,1.4743,0.55693,0.85,0.8873,0.61849,1.66679,1.02633,1.3826,1.17822e-06,1.17822e-06,1.17822e-06
3,7.53903,1.08928,2.49696,1.2155,0.55903,0.85,0.85031,0.61527,1.67985,1.01361,1.38644,2.33288e-06,2.33288e-06,2.33288e-06
4,7.82582,1.16406,2.79291,1.48524,0.54269,0.85,0.85767,0.63734,1.66838,0.98999,1.36773,3.46397e-06,3.46397e-06,3.46397e-06
5,8.1591,1.20963,2.46662,1.61704,0.5481,0.85,0.85778,0.63682,1.66656,1.01222,1.36503,4.5715e-06,4.5715e-06,4.5715e-06
6,8.52301,0.8327,1.91759,1.1483,0.54446,0.85944,0.85848,0.62867,1.68031,1.01097,1.37146,5.65548e-06,5.65548e-06,5.65548e-06
7,8.89268,1.40683,2.75313,1.76766,0.53436,0.8643,0.85864,0.62871,1.67272,1.01916,1.3702,6.71588e-06,6.71588e-06,6.71588e-06
8,9.2474,1.24056,3.85704,1.69182,0.55684,0.86667,0.86262,0.63122,1.6724,1.02016,1.36394,7.75273e-06,7.75273e-06,7.75273e-06
9,9.62577,0.91266,2.97629,1.27483,0.54444,0.86667,0.89709,0.63297,1.6764,1.02669,1.36178,8.76602e-06,8.76602e-06,8.76602e-06
10,10.0222,1.08034,2.19843,1.29561,0.53284,0.86667,0.89477,0.64245,1.67592,1.03274,1.36126,9.75574e-06,9.75574e-06,9.75574e-06
11,10.4115,1.17274,2.26255,1.55729,0.64368,0.9443,0.91156,0.64964,1.66671,1.03762,1.35641,1.07219e-05,1.07219e-05,1.07219e-05
12,10.7923,1.01405,2.35565,1.39578,0.6495,0.94449,0.91094,0.64532,1.66391,1.0481,1.35389,1.16645e-05,1.16645e-05,1.16645e-05
13,11.1723,1.36558,3.2541,1.80698,0.63024,0.95,0.91241,0.64807,1.68106,1.05745,1.36168,1.25835e-05,1.25835e-05,1.25835e-05
14,11.5422,0.84328,2.45735,1.26174,0.62963,0.95,0.91259,0.64815,1.6865,1.06542,1.36155,1.3479e-05,1.3479e-05,1.3479e-05
15,11.9256,1.271,3.03952,1.52476,0.63339,0.78333,0.91038,0.65179,1.68301,1.0747,1.3615,1.43509e-05,1.43509e-05,1.43509e-05
16,12.502,1.21099,2.03981,1.50871,0.63429,0.78333,0.91033,0.65015,1.67741,1.07557,1.35998,1.51993e-05,1.51993e-05,1.51993e-05
17,12.8775,0.82033,1.54922,1.18406,0.6414,0.78333,0.91065,0.62874,1.67139,1.09034,1.35954,1.60241e-05,1.60241e-05,1.60241e-05
18,13.2228,0.62493,1.34206,0.99988,0.6414,0.78333,0.91065,0.62874,1.67139,1.09034,1.35954,1.68253e-05,1.68253e-05,1.68253e-05
19,13.6293,0.72819,1.61253,1.05382,0.82322,0.65,0.8718,0.64009,1.68902,1.12802,1.37347,1.7603e-05,1.7603e-05,1.7603e-05
20,13.9993,1.17671,1.75757,1.34975,0.82322,0.65,0.8718,0.64009,1.68902,1.12802,1.37347,1.83571e-05,1.83571e-05,1.83571e-05
21,14.3918,0.77759,1.80834,1.1859,0.78854,0.65,0.85564,0.627,1.7012,1.17751,1.38332,1.90876e-05,1.90876e-05,1.90876e-05
22,14.7257,1.07445,1.70034,1.24593,0.78854,0.65,0.85564,0.627,1.7012,1.17751,1.38332,1.97946e-05,1.97946e-05,1.97946e-05
23,15.1242,0.96435,1.74257,1.40588,0.77784,0.65,0.85563,0.62685,1.70086,1.20648,1.38607,2.0478e-05,2.0478e-05,2.0478e-05
24,15.5045,0.9311,1.65773,1.23267,0.77784,0.65,0.85563,0.62685,1.70086,1.20648,1.38607,2.11379e-05,2.11379e-05,2.11379e-05
25,15.9089,0.65235,2.01406,1.06817,0.77847,0.65,0.85558,0.60821,1.70274,1.23188,1.38799,2.17741e-05,2.17741e-05,2.17741e-05
26,16.2921,0.85129,1.3122,1.17948,0.77847,0.65,0.85558,0.60821,1.70274,1.23188,1.38799,2.23869e-05,2.23869e-05,2.23869e-05
27,16.6921,0.96373,1.47038,1.40374,0.7606,0.65,0.85484,0.59565,1.70845,1.28696,1.39365,2.2976e-05,2.2976e-05,2.2976e-05
28,17.064,0.96495,1.21113,1.24808,0.7606,0.65,0.85484,0.59565,1.70845,1.28696,1.39365,2.35417e-05,2.35417e-05,2.35417e-05
29,17.4419,0.92838,1.6565,1.28099,0.76349,0.65,0.85506,0.60786,1.67578,1.30037,1.37743,2.40837e-05,2.40837e-05,2.40837e-05
30,17.7919,1.03534,1.27237,1.32206,0.76349,0.65,0.85506,0.60786,1.67578,1.30037,1.37743,2.46022e-05,2.46022e-05,2.46022e-05
31,18.1631,1.0091,1.69229,1.34747,0.74451,0.65,0.85467,0.57847,1.65495,1.3394,1.3703,2.50971e-05,2.50971e-05,2.50971e-05
32,18.5393,0.66909,1.51241,1.30939,0.74451,0.65,0.85467,0.57847,1.65495,1.3394,1.3703,2.55685e-05,2.55685e-05,2.55685e-05
